route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,blockname
33,305,132190020,SHUTTLE PARK NORTH,0,6302,33:03,3351
33,305,132191020,SHUTTLE PARK NORTH,0,6302,33:01,3351
33,305,132192020,SHUTTLE PARK NORTH,0,6302,33:01,3351
33,305,132193020,SHUTTLE PARK NORTH,0,6302,33:01,3351
33,64,132724010,SHUTTLE PARK NORTH,0,6501,33:01,3353
33,64,132728010,SHUTTLE PARK NORTH,0,6501,33:01,3353
33,64,132732010,SHUTTLE PARK NORTH,0,6501,33:01,3353
33,64,132763010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132767010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132771010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132775010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132779010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132783010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132787010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132791010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132795010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132799010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132803010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132807010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132811010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132815010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,64,132819010,SHUTTLE PARK SOUTH,1,6501,33:51,3353
33,305,132183020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,305,132184020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,305,132185020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,305,132186020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,305,132187020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,305,132188020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,305,132189020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,305,132214020,SHUTTLE PARK NORTH,0,6502,33:01,3353
33,64,132812010,SHUTTLE PARK SOUTH,1,6601,33:51,3354
33,64,132816010,SHUTTLE PARK SOUTH,1,6601,33:51,3354
33,305,132205020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132206020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132207020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132208020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132209020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132210020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132211020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132215020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132219020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132223020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132226020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132230020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132234020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132238020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132241020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132245020,SHUTTLE PARK NORTH,0,6602,33:01,3354
33,305,132350020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132351020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132352020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132353020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132354020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132355020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132357020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132361020,SHUTTLE PARK SOUTH,1,6602,33:51,3354
33,305,132257020,SHUTTLE PARK NORTH,0,6702,33:01,3355
33,305,132358020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132362020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132369020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132373020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132377020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132384020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132388020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132394020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132395020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132396020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132397020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132398020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
