shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
107,36.09382,-80.2559,254,
107,36.09373,-80.25509,255,
107,36.09359,-80.25425,256,
107,36.09351,-80.2538,257,
107,36.09344,-80.25324,258,
107,36.09344,-80.25311,259,
107,36.09346,-80.25284,260,
107,36.0938,-80.25166,261,
107,36.09387,-80.2513,262,
107,36.09404,-80.24984,263,
107,36.09434,-80.2473,264,
107,36.09471,-80.2443,265,
107,36.09472,-80.24426,266,
107,36.09558,-80.24441,267,
107,36.09608,-80.24451,268,
107,36.09836,-80.2449,269,
107,36.0999,-80.24513,270,
107,36.09993,-80.24514,271,
87,36.09988,-80.24547,1,
87,36.10023,-80.24254,2,
87,36.10046,-80.24038,3,
87,36.10051,-80.2386,4,
87,36.10052,-80.23624,5,
87,36.10053,-80.23561,6,
87,36.10056,-80.23489,7,
87,36.10055,-80.23379,8,
87,36.10055,-80.23334,9,
87,36.10093,-80.23331,10,
87,36.10111,-80.23331,11,
87,36.10213,-80.23327,12,
87,36.10526,-80.23318,13,
87,36.10537,-80.23318,14,
87,36.10537,-80.23329,15,
87,36.10539,-80.23444,16,
87,36.10537,-80.23495,17,
87,36.10535,-80.23509,18,
87,36.1053,-80.236,19,
87,36.1053,-80.23674,20,
87,36.10528,-80.23746,21,
87,36.1053,-80.23809,22,
87,36.10532,-80.23869,23,
87,36.1053,-80.23899,24,
87,36.10525,-80.2393,25,
87,36.10495,-80.24032,26,
87,36.10467,-80.24117,27,
87,36.10515,-80.24117,28,
87,36.10546,-80.24117,29,
87,36.1064,-80.24173,30,
87,36.10662,-80.24184,31,
87,36.10678,-80.24185,32,
87,36.10756,-80.24185,33,
87,36.11009,-80.24185,34,
87,36.11352,-80.24187,35,
87,36.11539,-80.24189,36,
87,36.11681,-80.24191,37,
87,36.11842,-80.24191,38,
87,36.12052,-80.24194,39,
87,36.1218,-80.24194,40,
87,36.12233,-80.24194,41,
87,36.12356,-80.24194,42,
87,36.12486,-80.24196,43,
87,36.12838,-80.24198,44,
87,36.13064,-80.24198,45,
87,36.13125,-80.24205,46,
87,36.13169,-80.24207,47,
87,36.13246,-80.24207,48,
87,36.13344,-80.24211,49,
87,36.1345,-80.24221,50,
87,36.13543,-80.24238,51,
87,36.13588,-80.2425,52,
87,36.13776,-80.24297,53,
87,36.13787,-80.24295,54,
87,36.13835,-80.24308,55,
87,36.14006,-80.24354,56,
87,36.14229,-80.2441,57,
87,36.14273,-80.24419,58,
87,36.1436,-80.24424,59,
87,36.14421,-80.24426,60,
87,36.14665,-80.24417,61,
87,36.14723,-80.24412,62,
87,36.14829,-80.2441,63,
87,36.14941,-80.24409,64,
87,36.14983,-80.24414,65,
87,36.15009,-80.24421,66,
87,36.15057,-80.24436,67,
87,36.15104,-80.24455,68,
87,36.15156,-80.24486,69,
87,36.15198,-80.24518,70,
87,36.15237,-80.24554,71,
87,36.15288,-80.2461,72,
87,36.15373,-80.24715,73,
87,36.15475,-80.2484,74,
87,36.15679,-80.25087,75,
87,36.15692,-80.25101,76,
87,36.1574,-80.25153,77,
87,36.15818,-80.25223,78,
87,36.15931,-80.2531,79,
87,36.16072,-80.25418,80,
87,36.16149,-80.25488,81,
87,36.16194,-80.25535,82,
87,36.16232,-80.25576,83,
87,36.1641,-80.25794,84,
87,36.16447,-80.25835,85,
87,36.16485,-80.25873,86,
87,36.16532,-80.25914,87,
87,36.16572,-80.25946,88,
87,36.16737,-80.26071,89,
87,36.17096,-80.26341,90,
87,36.17295,-80.2649,91,
87,36.17364,-80.26546,92,
87,36.17405,-80.2658,93,
87,36.17549,-80.26709,94,
87,36.17757,-80.26902,95,
87,36.182,-80.27314,96,
87,36.18257,-80.27366,97,
87,36.18271,-80.27384,98,
87,36.1828,-80.274,99,
87,36.18296,-80.27438,100,
87,36.18303,-80.27467,101,
87,36.18327,-80.27463,102,
87,36.18363,-80.27462,103,
87,36.18383,-80.27463,104,
87,36.18413,-80.27467,105,
87,36.1846,-80.2748,106,
87,36.18563,-80.27521,107,
87,36.18645,-80.27557,108,
87,36.18679,-80.27575,109,
87,36.18681,-80.27582,110,
87,36.1873,-80.27605,111,
87,36.18812,-80.27641,112,
87,36.18869,-80.27666,113,
87,36.18896,-80.27679,114,
87,36.18941,-80.27699,115,
87,36.18943,-80.27692,116,
87,36.1896,-80.27624,117,
87,36.18965,-80.27602,118,
87,36.18962,-80.27594,119,
87,36.18969,-80.27553,120,
87,36.18972,-80.27513,121,
87,36.18974,-80.27456,122,
87,36.18972,-80.27429,123,
87,36.18972,-80.27418,124,
87,36.18971,-80.27409,125,
87,36.18911,-80.27415,126,
87,36.18855,-80.27422,127,
87,36.18824,-80.27418,128,
87,36.18786,-80.27404,129,
87,36.18765,-80.27395,130,
87,36.18722,-80.27388,131,
87,36.18719,-80.27388,132,
87,36.18692,-80.2739,133,
87,36.18662,-80.274,134,
87,36.18645,-80.27408,135,
87,36.18625,-80.27422,136,
87,36.18601,-80.27451,137,
87,36.1858,-80.27485,138,
87,36.18569,-80.27504,139,
87,36.18563,-80.27521,140,
87,36.1854,-80.27512,141,
87,36.18479,-80.27487,142,
87,36.18463,-80.27481,143,
87,36.18418,-80.27469,144,
87,36.18363,-80.27462,145,
87,36.18327,-80.27463,146,
87,36.18303,-80.27467,147,
87,36.18291,-80.27422,148,
87,36.1828,-80.274,149,
87,36.18271,-80.27384,150,
87,36.18251,-80.27357,151,
87,36.18221,-80.27332,152,
87,36.18045,-80.27172,153,
87,36.17505,-80.26668,154,
87,36.17387,-80.26564,155,
87,36.1726,-80.26463,156,
87,36.17049,-80.26305,157,
87,36.1659,-80.25961,158,
87,36.16512,-80.25898,159,
87,36.16463,-80.25851,160,
87,36.16431,-80.25817,161,
87,36.16323,-80.25689,162,
87,36.16232,-80.25576,163,
87,36.16194,-80.25535,164,
87,36.16149,-80.25488,165,
87,36.16072,-80.25418,166,
87,36.15931,-80.2531,167,
87,36.15818,-80.25223,168,
87,36.1574,-80.25153,169,
87,36.15706,-80.25117,170,
87,36.15574,-80.24959,171,
87,36.15433,-80.24788,172,
87,36.15288,-80.2461,173,
87,36.15237,-80.24554,174,
87,36.15198,-80.24518,175,
87,36.15156,-80.24486,176,
87,36.15105,-80.24457,177,
87,36.15091,-80.2445,178,
87,36.15027,-80.24424,179,
87,36.14987,-80.24415,180,
87,36.14963,-80.24412,181,
87,36.14941,-80.24409,182,
87,36.149,-80.24408,183,
87,36.14804,-80.24412,184,
87,36.14719,-80.24414,185,
87,36.14665,-80.24417,186,
87,36.14515,-80.24423,187,
87,36.14396,-80.24426,188,
87,36.14306,-80.24421,189,
87,36.14251,-80.24414,190,
87,36.14123,-80.24385,191,
87,36.13924,-80.24331,192,
87,36.13787,-80.24295,193,
87,36.13776,-80.24297,194,
87,36.13751,-80.2429,195,
87,36.13604,-80.24254,196,
87,36.13599,-80.24252,197,
87,36.13583,-80.24248,198,
87,36.13478,-80.24225,199,
87,36.13395,-80.24214,200,
87,36.13322,-80.24209,201,
87,36.13174,-80.24207,202,
87,36.13086,-80.24203,203,
87,36.13064,-80.24198,204,
87,36.1282,-80.24198,205,
87,36.1246,-80.24196,206,
87,36.12334,-80.24193,207,
87,36.12205,-80.24194,208,
87,36.12052,-80.24194,209,
87,36.11811,-80.24189,210,
87,36.11672,-80.24189,211,
87,36.11586,-80.24189,212,
87,36.11388,-80.24187,213,
87,36.11255,-80.24185,214,
87,36.10781,-80.24184,215,
87,36.10702,-80.24185,216,
87,36.10678,-80.24185,217,
87,36.10662,-80.24184,218,
87,36.1064,-80.24173,219,
87,36.10546,-80.24117,220,
87,36.10467,-80.24117,221,
87,36.10455,-80.24117,222,
87,36.1046,-80.24104,223,
87,36.10504,-80.2396,224,
87,36.10517,-80.23906,225,
87,36.10521,-80.23845,226,
87,36.10522,-80.23795,227,
87,36.10522,-80.23759,228,
87,36.1052,-80.23747,229,
87,36.10525,-80.23747,230,
87,36.10528,-80.23746,231,
87,36.10528,-80.23737,232,
87,36.1053,-80.23644,233,
87,36.1053,-80.23591,234,
87,36.10535,-80.23504,235,
87,36.10539,-80.23444,236,
87,36.10537,-80.23318,237,
87,36.10526,-80.23318,238,
87,36.10342,-80.23325,239,
87,36.10055,-80.23334,240,
87,36.10055,-80.23379,241,
87,36.10056,-80.23489,242,
87,36.10053,-80.23561,243,
87,36.10052,-80.23624,244,
87,36.10051,-80.2386,245,
87,36.10046,-80.24038,246,
87,36.10023,-80.24254,247,
87,36.0999,-80.24549,248,
